,Lawyer Names,experience,field,feedback,gender,charge,avg_days_for_disposal,lang,practices_at,location,cd,isprobo
1101,Fateh Bhatia,26,"['Civil ', '  Medical ', ' Constitutional ']",5.0,m,153.46326688773468,78.29784177918343,"['Tamil', 'Gujarati']",Comar-Suri,Hyderabad, Large Corporations,False
1102,Yuvraj  Basak,4,"['  Immigration ', 'Intellectual Property ', ' Intellectual Property ']",3.0,m,282.17564533644054,101.0290396496248,"['Urdu', 'Marathi']",Bera,Delhi, Small Businesses,False
1103,Jiya Golla,1,"['Corporate ', ' Criminal ', '  Civil ']",5.0,f,164.07218896573568,81.61254247411188,"['Tamil', 'Hindi', 'Punjabi']",Subramanian,Hyderabad, Individuals,True
1104,Miraya Toor,8,"[' Real Estate ', 'Intellectual Property ', '  Media  Entertainment ']",3.0,f,473.24178549632643,83.09539856138456,"['Punjabi', 'Odia']",Acharya-Taneja,Chennai, Individuals,False
1105,Vanya Gaba,17,"['Environmental ', ' Human Rights ', '  Real Estate ']",3.0,m,457.674785566819,105.4537454095435,"['Malayalam', 'Assamese', 'Kannada']",Dey,Chennai, Small Businesses,False
1106,Onkar Dua,3,"['Medical ', '  Banking  Finance ', ' Civil ']",2.0,m,305.06274725470973,84.2994473056597,"['Hindi', 'Gujarati', 'Telugu']",Zacharia Group,Chennai, Individuals,True
1107,Indranil Madan,29,"[' Human Rights ', 'Intellectual Property ', '  Criminal ']",5.0,m,209.49079639432378,83.9280693086956,"['Bengali', 'Marathi', 'Kannada']",Sama Group,Bangalore, Individuals,True
1108,Priyansh Bajwa,20,"['Consumer Protection ', ' Human Rights ', '  Labor ']",5.0,m,221.516096915631,106.9920704576221,"['Odia', 'Marathi', 'Urdu']",Bhargava-Hari,Hyderabad, Small Businesses,True
1109,Sara Thaker,15,"['  Real Estate ', ' Family ', 'Immigration ']",,f,235.33352741502364,,"['Malayalam', 'Gujarati', 'Telugu']",Badami,Hyderabad, Large Corporations,False
1110,Amani Ranganathan,15,"['  Labor ', ' Labor ', 'Real Estate ']",1.0,f,377.4106949607248,99.6703470492635,"['Bengali', 'Odia', 'Kannada']",Boase-Bhat,Mumbai, Large Corporations,False
1111,Jivika Shroff,24,"['Tax ', ' Constitutional ', '  Intellectual Property ']",3.0,f,253.23754798347704,80.17845336564076,"['Bengali', 'Urdu']",Subramaniam-Vora,Kolkata, Individuals,True
1112,Aradhya Shanker,22,"['Consumer Protection ', '  Medical ', ' Constitutional ']",5.0,m,435.52847592765386,82.34087251053631,"['Tamil', 'Odia', 'Punjabi']",Ram LLC,Delhi, Small Businesses,False
1113,Divij Hayer,14,"['Medical ', '  Criminal ', ' Civil ']",1.0,m,474.84265366866407,91.19872895610057,"['Punjabi', 'Assamese']",Basu LLC,Chennai, Large Corporations,True
1114,Kabir Shan,26,"['  Consumer Protection ', ' Real Estate ', 'Criminal ']",2.0,m,201.17576902052022,94.81395092888486,"['Assamese', 'Odia', 'Gujarati']",Hans Inc,Hyderabad, Large Corporations,False
1115,Anahita Mammen,28,"[' Family ', 'Tax ', '  Corporate ']",5.0,f,302.31251661905605,75.18201134790343,"['Malayalam', 'Urdu', 'Marathi']",Sur-Raval,Hyderabad, Individuals,True
1116,Samiha Ben,23,"[' Corporate ', 'Intellectual Property ', '  Environmental ']",5.0,m,92.775441574654,100.84556909369796,"['Hindi', 'Odia', 'Telugu']",Gera Group,Mumbai, Large Corporations,False
1117,Ahana  Samra,14,"['Family ', ' Consumer Protection ', '  Family ']",1.0,f,140.21107149486153,91.28269994459399,"['Tamil', 'Punjabi']",Deshmukh Ltd,Delhi, Small Businesses,True
1118,Divyansh Sekhon,24,"['Human Rights ', ' Intellectual Property ', '  Media  Entertainment ']",3.0,m,236.05959501957204,64.26437522042806,"['Punjabi', 'Bengali', 'Odia']",Rao-Dayal,Kolkata, Large Corporations,True
1119,Navya Hayer,2,"['Corporate ', ' Consumer Protection ', '  Labor ']",,f,142.79122215580048,,"['Punjabi', 'Marathi', 'Gujarati']",Dash LLC,Kolkata, Small Businesses,True
1120,Yuvaan Walia,13,"['Banking  Finance ', ' Consumer Protection ', '  Media  Entertainment ']",5.0,m,444.4522208549229,82.43806989522504,"['Punjabi', 'Bengali', 'Assamese']",Mann-Sampath,Chennai, Small Businesses,False
1121,Purab Datta,26,"['  Medical ', 'Constitutional ', ' Immigration ']",3.0,m,121.22881522659414,88.90713466738417,"['Marathi', 'Telugu']",Agate-Vasa,Kolkata, Individuals,False
1122,Khushi Johal,14,"['  Consumer Protection ', ' Consumer Protection ', 'Tax ']",2.0,f,255.04736969889137,118.33918193255994,"['Marathi', 'Urdu', 'Gujarati']",Rattan,Kolkata, Large Corporations,False
1123,Nehmat Behl,27,"['Banking  Finance ', ' Constitutional ', '  Criminal ']",4.0,m,322.56465820694405,93.57256959209442,"['Tamil', 'Hindi', 'Telugu']",Reddy Ltd,Delhi, Individuals,True
1124,Samarth Das,24,"['Banking  Finance ', ' Intellectual Property ', '  Human Rights ']",4.0,m,361.33875867238,77.38842165152062,"['Malayalam', 'Gujarati']",Raval,Delhi, Large Corporations,True
1125,Indrans Upadhyay,19,"['  Banking  Finance ', 'Intellectual Property ', ' Intellectual Property ']",2.0,m,222.38121637692802,93.30946206460744,"['Bengali', 'Odia', 'Gujarati']",Ranganathan-Ahuja,Chennai, Individuals,True
1126,Aaina Kurian,7,"['Corporate ', '  Labor ', ' Criminal ']",1.0,m,441.09458092612783,84.71868378819178,"['Punjabi', 'Urdu', 'Telugu']",Mall-Tiwari,Hyderabad, Individuals,True
1127,Shamik Wali,3,"['Media  Entertainment ', ' Real Estate ', '  Labor ']",2.0,m,305.7436179850665,94.87137359300313,"['Bengali', 'Malayalam', 'Gujarati']",Bhardwaj and Sons,Mumbai, Individuals,True
1128,Rhea Balan,15,"['Civil ', ' Immigration ', '  Constitutional ']",2.0,f,247.7785012013983,98.70851530553422,"['Punjabi', 'Kannada']",Koshy-Bajwa,Chennai, Large Corporations,True
1129,Vihaan Bhagat,23,"[' Consumer Protection ', '  Constitutional ', 'Real Estate ']",,m,80.25828532341649,,"['Punjabi', 'Urdu']",Randhawa Ltd,Bangalore, Individuals,True
1130,Alia Choudhury,14,"['Banking  Finance ', ' Environmental ', '  Environmental ']",1.0,f,259.1102608003242,89.63570256494961,"['Hindi', 'Kannada']",Luthra-Shroff,Kolkata, Small Businesses,True
1131,Romil Iyer,11,"[' Corporate ', '  Banking  Finance ', 'Labor ']",3.0,m,419.33112836707863,114.5844079139975,"['Malayalam', 'Gujarati']",Buch,Mumbai, Large Corporations,True
1132,Jiya Shah,15,"['  Consumer Protection ', 'Medical ', ' Human Rights ']",3.0,f,326.54345819959195,103.62033993804286,"['Bengali', 'Kannada', 'Telugu']",Dora Group,Hyderabad, Small Businesses,False
1133,Kartik Thaker,28,"['Immigration ', ' Labor ', '  Criminal ']",1.0,m,424.47310417810326,79.38840682781718,"['Punjabi', 'Urdu', 'Kannada']",Sampath,Hyderabad, Individuals,True
1134,Zeeshan Char,13,"['Corporate ', ' Criminal ', '  Environmental ']",4.0,m,272.3052517696875,123.14783498622697,"['Punjabi', 'Odia', 'Gujarati']",Gole-Dass,Delhi, Individuals,False
1135,Vanya Baral,18,"['Family ', ' Intellectual Property ', '  Constitutional ']",4.0,m,103.30776729251683,94.90491769905147,"['Hindi', 'Gujarati', 'Assamese']",Bali,Bangalore, Small Businesses,True
1136,Vaibhav Thakur,26,"['Environmental ', ' Intellectual Property ', '  Tax ']",2.0,m,56.137930626146485,77.47313244041648,"['Hindi', 'Malayalam', 'Urdu']",Yadav LLC,Hyderabad, Individuals,False
1137,Priyansh Raval,6,"['Family ', '  Banking  Finance ', ' Tax ']",5.0,m,186.44879602336604,114.79369576845633,"['Punjabi', 'Urdu', 'Marathi']",Luthra-Char,Bangalore, Large Corporations,True
1138,Ritvik Gopal,3,"['Corporate ', ' Immigration ', '  Corporate ']",2.0,m,364.0957121740066,121.16666377797667,"['Assamese', 'Gujarati', 'Kannada']",Bava-Saran,Kolkata, Small Businesses,False
1139,Hunar Dara,19,"['Family ', ' Consumer Protection ', '  Environmental ']",,m,405.6169567737622,,"['Odia', 'Marathi', 'Telugu']",Mand,Delhi, Large Corporations,True
1140,Anay Dutt,15,"['Banking  Finance ', ' Medical ', '  Civil ']",5.0,m,183.08877557914823,82.44524609436606,"['Tamil', 'Malayalam', 'Punjabi']",Sharaf Ltd,Mumbai, Large Corporations,True
1141,Rohan Arya,25,"[' Immigration ', '  Environmental ', 'Real Estate ']",1.0,m,273.04426439746123,87.41437563819507,"['Hindi', 'Urdu', 'Kannada']",Bhat PLC,Delhi, Large Corporations,True
1142,Suhana Ghosh,23,"['Family ', '  Medical ', ' Tax ']",4.0,f,239.50350699533672,100.7209759127655,"['Punjabi', 'Tamil', 'Bengali']",Savant,Kolkata, Individuals,False
1143,Dharmajan Sandhu,5,"[' Banking  Finance ', 'Media  Entertainment ', '  Criminal ']",2.0,m,234.73525295814252,109.16784982545771,"['Bengali', 'Gujarati', 'Telugu']",Barad-Bassi,Hyderabad, Individuals,True
1144,Samar Kurian,28,"[' Human Rights ', 'Tax ', '  Criminal ']",5.0,f,154.1069209400677,98.55730996295361,"['Malayalam', 'Kannada', 'Telugu']",Wason LLC,Bangalore, Small Businesses,False
1145,Kanav Khatri,10,"['  Media  Entertainment ', ' Immigration ', 'Labor ']",3.0,m,111.36699726325627,91.52584812707654,"['Odia', 'Telugu']",Sampath Inc,Kolkata, Small Businesses,False
1146,Manikya Chaudhari,7,"['Family ', ' Intellectual Property ', '  Tax ']",2.0,m,138.5098512040459,112.47017655456642,"['Odia', 'Gujarati', 'Urdu']",Chaudhuri-Mane,Hyderabad, Large Corporations,False
1147,Rasha Bhandari,25,"[' Constitutional ', 'Labor ', '  Human Rights ']",4.0,f,74.89957422350574,85.30745290422716,"['Punjabi', 'Assamese', 'Kannada']",Borde-Kumar,Chennai, Individuals,False
1148,Hansh Iyer,17,"['  Immigration ', ' Family ', 'Human Rights ']",1.0,m,139.1588338206097,105.46379007550361,"['Bengali', 'Odia', 'Telugu']",Ram Ltd,Bangalore, Individuals,False
1149,Biju Lata,7,"['  Immigration ', 'Intellectual Property ', ' Intellectual Property ']",,m,54.14040393142076,,"['Tamil', 'Odia', 'Marathi']",Boase PLC,Kolkata, Individuals,True
1150,Oorja Lalla,22,"['Criminal ', ' Criminal ', '  Constitutional ']",2.0,m,332.26628028619024,96.4653443701634,"['Tamil', 'Kannada']",Dada,Mumbai, Small Businesses,False
1151,Advik Mannan,26,"['  Civil ', ' Real Estate ', 'Real Estate ']",5.0,m,192.3689333244573,88.29656152814323,"['Marathi', 'Assamese', 'Telugu']",Kakar-Sha,Mumbai, Individuals,False
1152,Ryan Ranganathan,12,"[' Banking  Finance ', 'Medical ', '  Constitutional ']",3.0,m,487.9151201421089,89.16221726020784,"['Punjabi', 'Malayalam', 'Gujarati']",Shanker,Hyderabad, Large Corporations,False
1153,Yuvaan Sha,25,"['Banking  Finance ', '  Intellectual Property ', ' Tax ']",3.0,m,137.17267284933405,84.33920223806685,"['Hindi', 'Gujarati', 'Kannada']",Raju Inc,Hyderabad, Large Corporations,False
1154,Abram Sidhu,17,"[' Corporate ', 'Criminal ', '  Intellectual Property ']",1.0,m,205.62285663931726,110.17281046771042,"['Bengali', 'Urdu', 'Telugu']",Ray Inc,Mumbai, Large Corporations,True
1155,Akarsh Lalla,13,"['Banking  Finance ', '  Family ', ' Labor ']",4.0,m,211.02852138868994,79.00610942837197,"['Punjabi', 'Kannada', 'Telugu']",Srinivasan and Sons,Chennai, Individuals,True
1156,Misha Krish,20,"[' Corporate ', 'Media  Entertainment ', '  Intellectual Property ']",1.0,f,53.80317322810724,78.89651621176938,"['Bengali', 'Punjabi']",Bir,Delhi, Large Corporations,True
1157,Sumer Wadhwa,25,"[' Medical ', 'Intellectual Property ', '  Immigration ']",2.0,m,427.6435788677565,121.81490348767664,"['Hindi', 'Odia', 'Assamese']",Mander-Gole,Mumbai, Large Corporations,False
1158,Jivin Hayer,4,"[' Intellectual Property ', 'Hayer has 4 years of experience in Banking  Finance ', '  Human Rights ']",2.0,m,64.39750706494613,104.66771346981497,"['Hindi', 'Marathi', 'Punjabi']",Sahota Group,Hyderabad, Small Businesses,False
1159,Vanya Bandi,10,"['Human Rights ', ' Criminal ', '  Media  Entertainment ']",,m,473.08092562815864,,"['Bengali', 'Malayalam', 'Odia']",Mahajan-Bhargava,Hyderabad, Small Businesses,True
1160,Ojas Thakkar,3,"[' Consumer Protection ', '  Corporate ', 'Real Estate ']",4.0,m,451.4334579921293,81.52111891184394,"['Bengali', 'Odia', 'Urdu']",Randhawa Ltd,Chennai, Individuals,True
1161,Advika Ahluwalia,9,"['Corporate ', ' Intellectual Property ', '  Intellectual Property ']",5.0,f,290.9848622386836,62.82015993656918,"['Tamil', 'Malayalam', 'Gujarati']",Handa-Ravel,Mumbai, Individuals,False
1162,Mahika Dass,13,"['Corporate ', ' Real Estate ', '  Constitutional ']",4.0,f,294.6180087100814,75.73963959877118,"['Hindi', 'Malayalam']",Bhalla Inc,Chennai, Individuals,True
1163,Aaryahi Sama,18,"['  Labor ', ' Constitutional ', 'Labor ']",2.0,m,344.2000653302704,42.9222800064894,"['Punjabi', 'Tamil', 'Hindi']",Banik,Mumbai, Individuals,False
1164,Stuvan Rajagopal,15,"[' Human Rights ', 'Intellectual Property ', '  Criminal ']",5.0,m,224.17250537069913,87.94515633459086,"['Bengali', 'Odia', 'Marathi']",Ganesh Inc,Delhi, Individuals,False
1165,Sumer Wable,4,"[' Environmental ', 'Labor ', '  Corporate ']",4.0,m,341.250027529035,72.87087271258032,"['Hindi', 'Urdu', 'Marathi']",Varma-Sahota,Kolkata, Small Businesses,True
1166,Aaina Gopal,15,"['Human Rights ', ' Labor ', '  Corporate ']",4.0,m,70.1457749098191,90.89857885194658,"['Hindi', 'Odia', 'Kannada']",Issac,Mumbai, Small Businesses,False
1167,Yashvi Ram,22,"[' Real Estate ', 'Immigration ', '  Environmental ']",5.0,f,74.32143230737695,65.62318111676213,"['Bengali', 'Malayalam', 'Marathi']",Ramachandran Inc,Kolkata, Small Businesses,True
1168,Akarsh Kannan,2,"['Family ', '  Constitutional ', ' Tax ']",2.0,m,255.75368882879496,91.2436777975806,"['Tamil', 'Punjabi']",Talwar LLC,Mumbai, Large Corporations,False
1169,Samar Lanka,15,"[' Consumer Protection ', 'Constitutional ', '  Criminal ']",,f,297.3300354977157,,"['Gujarati', 'Assamese']",Tara,Delhi, Large Corporations,True
1170,Indrans Goel,8,"['  Immigration ', 'Immigration ', ' Tax ']",5.0,m,449.5179381511185,112.52929447782893,"['Bengali', 'Malayalam', 'Telugu']",Sem,Hyderabad, Small Businesses,False
1171,Lakshit Balakrishnan,8,"['Family ', ' Intellectual Property ', '  Corporate ']",2.0,m,97.09728525855331,111.17035292618438,"['Urdu', 'Kannada']",Mani-Kuruvilla,Kolkata, Small Businesses,False
1172,Shanaya Mangat,17,"['  Family ', ' Criminal ', 'Real Estate ']",5.0,f,420.1915672372502,101.78018404515424,"['Malayalam', 'Telugu']",Master LLC,Chennai, Individuals,False
1173,Anahita Sagar,12,"[' Real Estate ', '  Medical ', 'Labor ']",5.0,f,144.5213017814313,85.10079329008181,"['Bengali', 'Malayalam', 'Assamese']",Srinivas Group,Mumbai, Small Businesses,False
1174,Abram Sanghvi,19,"['Medical ', '  Constitutional ', ' Civil ']",4.0,m,227.33764182951433,119.7807059289044,"['Bengali', 'Malayalam', 'Kannada']",Balay,Hyderabad, Individuals,False
1175,Lakshit Ray,10,"[' Consumer Protection ', '  Corporate ', 'Real Estate ']",2.0,m,192.47109567233582,66.70447083240269,"['Punjabi', 'Malayalam']",Dubey Inc,Mumbai, Small Businesses,True
1176,Kanav Dyal,9,"['Human Rights ', ' Media  Entertainment ', '  Civil ']",4.0,m,230.06987278942955,68.94662055654506,"['Tamil', 'Bengali', 'Urdu']",Vasa Group,Chennai, Individuals,True
1177,Anika Shan,5,"['Consumer Protection ', '  Consumer Protection ', ' Medical ']",1.0,f,117.7229741326635,88.74325350166403,"['Assamese', 'Kannada', 'Telugu']",Joshi,Delhi, Small Businesses,False
1178,Zain Doctor,6,"[' Criminal ', '  Environmental ', 'Doctor has 6 years of experience in Consumer Protection ']",1.0,m,276.60653348159974,123.81057163381678,"['Bengali', 'Hindi']",Tata-Seth,Bangalore, Individuals,True
1179,Jiya Goel,20,"['Media  Entertainment ', ' Constitutional ', '  Criminal ']",,f,410.7391654241153,,"['Hindi', 'Malayalam', 'Bengali']",Kala Ltd,Mumbai, Large Corporations,True
1180,Heer Shroff,26,"['Media  Entertainment ', ' Consumer Protection ', '  Intellectual Property ']",5.0,m,248.69030467050362,87.25132135186077,"['Bengali', 'Marathi', 'Kannada']",Setty-Kota,Chennai, Large Corporations,True
1181,Zoya Chand,2,"['Media  Entertainment ', ' Tax ', '  Corporate ']",4.0,f,270.7761091541896,68.37134465832287,"['Hindi', 'Marathi', 'Kannada']",Upadhyay Group,Bangalore, Individuals,True
1182,Miraya Kade,27,"['Consumer Protection ', ' Consumer Protection ', '  Constitutional ']",4.0,f,431.94541337659143,104.18894377905568,"['Gujarati', 'Assamese', 'Kannada']",Mallick,Mumbai, Individuals,False
1183,Akarsh Sidhu,24,"[' Environmental ', 'Human Rights ', '  Intellectual Property ']",2.0,m,367.72615158711386,104.2976438149403,"['Tamil', 'Urdu']",Anne-Aggarwal,Kolkata, Large Corporations,True
1184,Manikya Bhardwaj,27,"['  Consumer Protection ', 'Medical ', ' Intellectual Property ']",2.0,m,270.7044838339031,101.83612802099864,"['Punjabi', 'Malayalam']",Sule,Hyderabad, Small Businesses,True
1185,Divit Solanki,13,"['Banking  Finance ', '  Family ', ' Immigration ']",1.0,m,165.96304168513086,80.56168990728956,"['Bengali', 'Urdu', 'Kannada']",Saran Inc,Hyderabad, Individuals,False
1186,Keya Dar,6,"['  Intellectual Property ', ' Tax ', 'Real Estate ']",3.0,f,448.217036080235,79.39939847440492,"['Malayalam', 'Odia', 'Gujarati']",Gaba-Sidhu,Chennai, Small Businesses,False
1187,Akarsh Raj,5,"['Family ', ' Environmental ', '  Civil ']",2.0,m,309.65918076075127,70.60316624392544,"['Punjabi', 'Tamil', 'Assamese']",Vasa,Kolkata, Large Corporations,False
1188,Dhanush Sem,25,"[' Medical ', 'Human Rights ', '  Immigration ']",3.0,m,149.51642454981203,91.258087526414,"['Marathi', 'Assamese', 'Kannada']",Chaudry,Delhi, Large Corporations,False
1189,Ira Kari,1,"['Consumer Protection ', ' Banking  Finance ', '  Corporate ']",,f,171.10388868710464,,"['Bengali', 'Marathi', 'Telugu']",Sankaran and Sons,Bangalore, Individuals,False
1190,Ranbir Dhingra,21,"['  Real Estate ', 'Medical ', ' Labor ']",5.0,m,411.4098900213107,72.33875242126066,"['Odia', 'Gujarati']",Vyas-Ramachandran,Chennai, Small Businesses,False
1191,Kabir Dar,22,"['  Real Estate ', ' Family ', 'Intellectual Property ']",5.0,m,69.86550293935495,83.64463924633986,"['Bengali', 'Punjabi']",Gulati,Mumbai, Large Corporations,False
1192,Lavanya Bajwa,21,"['Media  Entertainment ', ' Immigration ', '  Intellectual Property ']",1.0,f,496.441484162969,82.66265737223675,"['Hindi', 'Gujarati']",Varma and Sons,Hyderabad, Small Businesses,False
1193,Parinaaz Deol,6,"['Human Rights ', ' Intellectual Property ', '  Tax ']",1.0,m,108.65825587165631,81.93032206767067,"['Bengali', 'Kannada']",Soni-Gill,Mumbai, Large Corporations,True
1194,Alia Kurian,6,"['Environmental ', '  Criminal ', ' Civil ']",3.0,f,408.23083642862184,96.99666895260393,"['Tamil', 'Punjabi', 'Telugu']",Chawla-Bansal,Bangalore, Individuals,False
1195,Jiya Hegde,23,"['Banking  Finance ', '  Environmental ', ' Media  Entertainment ']",2.0,f,227.6488925472573,91.18571703225419,"['Bengali', 'Odia', 'Gujarati']",Kannan LLC,Kolkata, Small Businesses,True
1196,Divyansh Sule,16,"['  Real Estate ', 'Family ', ' Media  Entertainment ']",4.0,m,271.4972824793601,85.67765954233323,"['Hindi', 'Malayalam', 'Tamil']",Chaudhuri Group,Kolkata, Small Businesses,False
1197,Faiyaz Ben,4,"['Consumer Protection ', ' Immigration ', '  Tax ']",1.0,m,446.29275985906,92.74519392467224,"['Bengali', 'Malayalam', 'Gujarati']",Balay,Chennai, Individuals,False
1198,Umang Ben,11,"['Civil ', ' Labor ', '  Human Rights ']",4.0,m,235.81003531514597,75.12709438343052,"['Bengali', 'Tamil', 'Telugu']",Rastogi,Chennai, Individuals,True
1199,Charvi Virk,24,"['Corporate ', '  Real Estate ', ' Criminal ']",,f,291.8721891529555,,"['Malayalam', 'Odia', 'Urdu']",Sidhu LLC,Kolkata, Individuals,True
1200,Ishita Sangha,23,"['Medical ', '  Tax ', ' Civil ']",2.0,f,72.18484808412647,92.25903739266951,"['Bengali', 'Malayalam', 'Marathi']",Rege,Chennai, Individuals,False
1201,Yashvi Sha,9,"['Corporate ', '  Media  Entertainment ', ' Tax ']",3.0,f,51.05636324035392,67.45429710963779,"['Hindi', 'Tamil', 'Odia']",Chauhan-Shah,Kolkata, Large Corporations,True
1202,Kismat Jayaraman,23,"['Immigration ', '  Criminal ', ' Civil ']",2.0,m,160.15994285077664,104.93540631555543,"['Hindi', 'Gujarati', 'Telugu']",Thakur-Chand,Bangalore, Small Businesses,True
1203,Kaira Devan,3,"['Corporate ', ' Real Estate ', '  Labor ']",1.0,m,356.2623918134453,76.77849442159507,"['Bengali', 'Odia', 'Gujarati']",Korpal Ltd,Chennai, Large Corporations,True
1204,Manikya Bath,19,"['  Real Estate ', 'Family ', ' Labor ']",4.0,m,104.56920201161151,91.35464698809652,"['Punjabi', 'Tamil', 'Bengali']",Madan LLC,Kolkata, Individuals,True
1205,Adah Sarin,8,"[' Banking  Finance ', '  Civil ', 'has 8 years of experience in Tax ']",2.0,m,101.19288146204724,107.46617610802906,"['Tamil', 'Punjabi', 'Kannada']",Raval-Tripathi,Chennai, Large Corporations,True
1206,Emir Bhagat,5,"['  Consumer Protection ', ' Consumer Protection ', 'Labor ']",2.0,m,234.93227361615646,103.88515136570804,"['Punjabi', 'Gujarati', 'Kannada']",Dey,Mumbai, Large Corporations,True
1207,Rohan Gala,4,"['Family ', '  Banking  Finance ', ' Media  Entertainment ']",2.0,m,341.5266673737019,90.51500082853254,"['Bengali', 'Urdu']",Vig LLC,Hyderabad, Small Businesses,False
1208,Urvi Dixit,24,"['Banking  Finance ', ' Media  Entertainment ', '  Corporate ']",1.0,f,370.4323965115687,84.56251495676898,"['Bengali', 'Malayalam', 'Telugu']",Jayaraman,Mumbai, Small Businesses,False
1209,Chirag Krishnan,6,"['Environmental ', ' Environmental ', '  Tax ']",,m,130.30280334426865,,"['Assamese', 'Urdu', 'Gujarati']",Ghose-Dhar,Delhi, Small Businesses,False
1210,Zeeshan Vohra,2,"['  Consumer Protection ', 'Family ', ' Immigration ']",2.0,m,85.8146663174191,100.1204246671293,"['Punjabi', 'Bengali', 'Hindi']",Kadakia,Kolkata, Individuals,False
1211,Neelofar Karpe,20,"[' Real Estate ', 'Human Rights ', '  Corporate ']",1.0,f,473.1786652754949,80.72452469933805,"['Hindi', 'Malayalam', 'Marathi']",Keer and Sons,Delhi, Individuals,False
1212,Ivana Zacharia,28,"['Medical ', ' Human Rights ', '  Banking  Finance ']",4.0,m,167.2998721529458,78.07659529497464,"['Odia', 'Marathi']",Sarin and Sons,Kolkata, Small Businesses,True
1213,Priyansh Wason,11,"['Constitutional ', '  Constitutional ', ' Civil ']",5.0,m,434.0059239239257,58.914672274560026,"['Assamese', 'Tamil', 'Gujarati']",Boase,Hyderabad, Large Corporations,True
1214,Jivika Aurora,4,"['Medical ', ' Real Estate ', '  Constitutional ']",1.0,f,438.57115270826824,92.31047762525381,"['Punjabi', 'Malayalam']",Aurora,Chennai, Small Businesses,False
1215,Ranbir Banerjee,15,"[' Medical ', '  Environmental ', 'Labor ']",5.0,m,397.635166293145,88.75953382472402,"['Punjabi', 'Malayalam', 'Assamese']",Vig PLC,Kolkata, Individuals,True
1216,Mehul Edwin,6,"[' Corporate ', 'has 6 years of experience in Civil ', '  Consumer Protection ']",2.0,f,125.97512299365654,107.04287061963814,"['Hindi', 'Tamil', 'Marathi']",Mane-Kant,Mumbai, Large Corporations,False
1217,Jayant Kala,22,"['Corporate ', ' Labor ', '  Criminal ']",2.0,m,419.81065666439014,95.3858264022055,"['Assamese', 'Bengali', 'Marathi']",Subramaniam PLC,Chennai, Individuals,True
1218,Lagan Saini,17,"['  Tax ', ' Media  Entertainment ', 'Labor ']",1.0,m,396.162751658714,110.01343791259036,"['Punjabi', 'Malayalam', 'Bengali']",Barad,Hyderabad, Small Businesses,False
1219,Yasmin Bandi,24,"[' Environmental ', 'Bi has 24 years of experience in Corporate ', '  Family ']",,f,318.5253455477977,,"['Malayalam', 'Gujarati', 'Kannada']",Rajan Group,Mumbai, Small Businesses,True
1220,Mishti Baral,6,"['  Media  Entertainment ', 'Immigration ', ' Constitutional ']",2.0,f,201.74091582602873,107.07225496451427,"['Tamil', 'Urdu', 'Gujarati']",Lanka,Chennai, Large Corporations,False
1221,Ela Chaudhry,19,"['  Constitutional ', ' Criminal ', 'Labor ']",4.0,f,168.12887191994486,82.06625431343018,"['Urdu', 'Gujarati']",Dhillon Group,Kolkata, Small Businesses,True
1222,Ryan Arora,25,"['Consumer Protection ', '  Criminal ', ' Civil ']",3.0,m,104.85014543616154,101.66394092688408,"['Punjabi', 'Hindi', 'Telugu']",Bhavsar-Bhardwaj,Kolkata, Individuals,True
1223,Aaryahi Sarin,2,"['  Medical ', 'has 2 years of experience in Banking  Finance ', ' Labor ']",3.0,m,279.3906801053921,68.1186241120396,"['Urdu', 'Assamese', 'Kannada']",Jha and Sons,Mumbai, Individuals,False
1224,Misha Bera,15,"['Banking  Finance ', '  Consumer Protection ', ' Constitutional ']",2.0,f,313.3673939794309,93.52702949049282,"['Tamil', 'Assamese', 'Kannada']",Krishna LLC,Bangalore, Individuals,True
1225,Sana Thaker,11,"['Corporate ', ' Constitutional ', '  Constitutional ']",5.0,f,211.70254573210426,60.22968087831135,['Telugu'],Sule Group,Kolkata, Large Corporations,False
1226,Lakshay Shroff,8,"['Civil ', ' Human Rights ', '  Constitutional ']",2.0,m,263.9115804563909,85.99293771087368,"['Bengali', 'Odia']",Swaminathan-Wali,Bangalore, Individuals,False
1227,Hazel Vala,26,"['Media  Entertainment ', ' Intellectual Property ', '  Media  Entertainment ']",5.0,f,213.58150581617002,96.6053099081687,"['Punjabi', 'Kannada', 'Telugu']",Gandhi-Kar,Chennai, Small Businesses,True
1228,Dishani Kalita,19,"['Media  Entertainment ', ' Environmental ', '  Family ']",4.0,m,338.45272579431554,82.18547173153357,"['Hindi', 'Odia']",Majumdar and Sons,Bangalore, Large Corporations,False
1229,Akarsh Bal,13,"['Consumer Protection ', ' Real Estate ', '  Real Estate ']",,m,455.56664350845347,,"['Bengali', 'Kannada', 'Telugu']",Kakar-Ahluwalia,Mumbai, Individuals,False
1230,Urvi Boase,12,"['Criminal ', ' Constitutional ', '  Intellectual Property ']",2.0,f,123.76411792112519,102.691777039439,"['Assamese', 'Kannada', 'Telugu']",Bhalla,Delhi, Individuals,False
1231,Hridaan Sur,5,"[' Corporate ', '  Consumer Protection ', 'Real Estate ']",4.0,m,221.63396445640555,88.44805815229614,"['Hindi', 'Malayalam', 'Gujarati']",Jani,Delhi, Small Businesses,True
1232,Taran Kaul,6,"[' Human Rights ', '  Environmental ', 'Real Estate ']",1.0,m,113.39087177788758,82.65644029453992,"['Bengali', 'Odia', 'Marathi']",Keer Inc,Mumbai, Small Businesses,False
